Mint                                         Time to Peak
3hmNHvpVQpGFgTWXYoAH4eZvMVwsHbFvcmJkNTFToySR  22.398509
DYvzaEUbCy4eB8sfQDLucnvwZrpjmdqZxJd67MSgpump  23.070915
9tggXf9ST9AtDXZjk9mPQGgjZQB7yELW25M88hxt2yap  23.401155
2Xd6BVP3XVFYwJnwZfUJs2uSXXQBNuJVCVebDb4PetLk  24.97497
74wyNfpxwogZNxburo5m8ZpwfTaJFWianX3ftfuKpump  25.891779
HooPowWBp1uii4cMt5xrLduHWY8PbiC8zPxZSj5jpump  27.101161
GJ2nzwzpLHUbuADbaa9h1rUUbLc9BQiSJixrQfgrpump  28.728423
2FhNfxnDY3jUPm4avVFjbo6rLNiJXPDJVQjdg6sapump  29.099969
AL7u5mSCnxCR89oeTw62RTRUXNy49sXb7jGUJMpspump  29.625118
HCUJZ4GRgVdMGSZoyaeXbVbmRpTmHKTNAxJZoMEFpump  31.337956
EuPbmVa3CRivqcPJaX93ZXqbbCbFyhpNr4a44cicpump  31.548254
3tqXCWroFDDsshj3Ua3UgeNoUMmuZUSKJUFaeRZ6pump  32.602732
ChRZGcmw3hajwfUQd5Fz44wp8vcpKRxqEaAtLPccpump  33.752043
6HUHYCFMLCospFbUj2abdTafzF8P8Ga2AReHWGHCpump  33.931602
7PLqczbxUwo3QYkES6bFokpzoi4mwzNURLaqn7mZpump  36.925005
C3wTzxG8TobJjDKW7N6VGrg7z3S3YSbVfQcP5Ek3pump  38.110854
C2p3fNVdAAWHfMac2Azh56Gxrq1ZGJHNJZx8QnzXpump  42.8839
8fam2TKkgXiDKWYEEuZQuyE9RkiTQKfeGbVppL1bpump  43.956259
HG8VTNGZjqLzVpD8Y2YB8mEXTRweA8BghdVtJUdbpump  44.590928
4wJTEqXssDJjevP7RgW2WqMNjGoZZtdJTCVtLQGspump  44.754364
AK2xfG4wZNumerH4PmcggHtjMEYgzduCEDioYk2pump   45.339768
8pZ2Xk1z5D7RUuWfUxhZYuRNJmfPjuFUmUFVZ7YEpump  45.816823
82eMLdR6m55qjv3xgT3kdFdipSETixUY9i1GU6Kcpump  52.440971
2xv9yfecRPfuGtStLsxzQKDjHy4qCJWbYENvboXWpump  58.451126
5mZ9826WoZHrDFbyCoBDYqK2XzvxEHsQnk9FAdvzpump  58.736041
4N7WEvPdtcG8DbyH61fdEnk6aYf967LXNcm8J7Whpump  59.733286
2JWJQPcfC1K7JX9qKE21iEGfYSwFQYmTHmzbHmPkpump  60.176096
7THQtPvCWTng6Ji2t9GcrgBymn2wwtcG4YUaZyndpump  60.267191
5oBtmyT6M41fZoEjioXfpFynMgnn8SaGES8TQhHgs9Ve  60.394875
254iUrNzSWBrGcCetPH7WaDNEHWkKfAscbQhuYgUpump  61.183107
ED3LWaTP54iAqEskYGEjSw3KajgRCxAbD9q1aXUc6ofx  61.802958
6GFYGQT2W6Z7p1jCkM9qpcPqofzRsK4A9tN4yZqGpump  63.796423
DXroPyMva1DicPyUk1LPddufAKqS2t6SzVYBu4F5pump  65.333334
4Pw5oRL8cHBvoF8u1rsWqzBRcro1KHcfirebbY7Ppump  65.709076
GCNazd6qhdASxLF9Ru6E5RAydpLDG6xqDaMLnZMcwo64  65.757166
6Rn2ddSgFhxxcKr3GbuADRv96Mzc63A8XRS5UEfEpump  67.636127
